Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
Computational biology and bioinformatics.,/pubmed/24931972,"Batzoglou S, Schwartz R.",Bioinformatics. 2014 Jun 15;30(12):i1-2. doi: 10.1093/bioinformatics/btu304. No abstract available. ,Bioinformatics.  2014,PubMed,citation,PMID:24931972 | PMCID:PMC4058912,pubmed,24931972,create date:2014/06/17 | first author:Batzoglou S
Bioinformatics education--perspectives and challenges out of Africa.,/pubmed/24990350,"Tastan Bishop Ö, Adebiyi EF, Alzohairy AM, Everett D, Ghedira K, Ghouila A, Kumuthini J, Mulder NJ, Panji S, Patterton HG; H3ABioNet Consortium.; H3Africa Consortium..",Brief Bioinform. 2015 Mar;16(2):355-64. doi: 10.1093/bib/bbu022. Epub 2014 Jul 2.,Brief Bioinform.  2015,PubMed,citation,PMID:24990350 | PMCID:PMC4364068,pubmed,24990350,create date:2014/07/06 | first author:Tastan Bishop Ö
Bioinformatics approach to understanding interacting pathways in neuropsychiatric disorders.,/pubmed/24870135,"Alawieh A, Sabra Z, Nokkari A, El-Assaad A, Mondello S, Zaraket F, Fadlallah B, Kobeissy FH.",Methods Mol Biol. 2014;1168:157-72. doi: 10.1007/978-1-4939-0847-9_9. Review.,Methods Mol Biol.  2014,PubMed,citation,PMID:24870135,pubmed,24870135,create date:2014/05/30 | first author:Alawieh A
Bioinformatics protocols in glycomics and glycoproteomics.,/pubmed/24692013,"Tang H, Mayampurath A, Yu CY, Mechref Y.",Curr Protoc Protein Sci. 2014 Apr 1;76:2.15.1-7. doi: 10.1002/0471140864.ps0215s76. Review.,Curr Protoc Protein Sci.  2014,PubMed,citation,PMID:24692013,pubmed,24692013,create date:2014/04/03 | first author:Tang H
Facilitating the use of large-scale biological data and tools in the era of translational bioinformatics.,/pubmed/23908249,"Kouskoumvekaki I, Shublaq N, Brunak S.",Brief Bioinform. 2014 Nov;15(6):942-52. doi: 10.1093/bib/bbt055. Epub 2013 Aug 1. Review.,Brief Bioinform.  2014,PubMed,citation,PMID:23908249,pubmed,23908249,create date:2013/08/03 | first author:Kouskoumvekaki I
Bioinformatics curriculum guidelines: toward a definition of core competencies.,/pubmed/24603430,"Welch L, Lewitter F, Schwartz R, Brooksbank C, Radivojac P, Gaeta B, Schneider MV.",PLoS Comput Biol. 2014 Mar 6;10(3):e1003496. doi: 10.1371/journal.pcbi.1003496. eCollection 2014 Mar. No abstract available. ,PLoS Comput Biol.  2014,PubMed,citation,PMID:24603430 | PMCID:PMC3945096,pubmed,24603430,create date:2014/03/08 | first author:Welch L
Modern bioinformatics meets traditional Chinese medicine.,/pubmed/24067932,"Gu P, Chen H.",Brief Bioinform. 2014 Nov;15(6):984-1003. doi: 10.1093/bib/bbt063. Epub 2013 Sep 24.,Brief Bioinform.  2014,PubMed,citation,PMID:24067932,pubmed,24067932,create date:2013/09/27 | first author:Gu P
Crowdfunding genomics and bioinformatics.,/pubmed/24079746,"Cameron P, Corne DW, Mason CE, Rosenfeld J.",Genome Biol. 2013;14(9):134. No abstract available. ,Genome Biol.  2013,PubMed,citation,PMID:24079746 | PMCID:PMC4054678,pubmed,24079746,create date:2013/10/02 | first author:Cameron P
"15 years of ""Bioinformatics"".",/pubmed/24642573,[No authors listed],Bioinformatics. 2014 Mar 15;30(6):747. doi: 10.1093/bioinformatics/btu076. No abstract available. ,Bioinformatics.  2014,PubMed,citation,PMID:24642573,pubmed,24642573,create date:2014/03/20
10 years for the Journal of Bioinformatics and Computational Biology (2003-2013) -- a retrospective.,/pubmed/24969752,"Eisenhaber F, Sherman WA.",J Bioinform Comput Biol. 2014 Jun;12(3):1471001. doi: 10.1142/S0219720014710012. Epub 2014 May 21.,J Bioinform Comput Biol.  2014,PubMed,citation,PMID:24969752,pubmed,24969752,create date:2014/06/28 | first author:Eisenhaber F
